,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_cycles,cache_size,associativity,block_size,alloc_type,write_type,evictor_type
read02.trace_1024_1_16_write-allocate_write-through_lru,10,0,9,1,0,0,411,1024,1,16,write-allocate,write-through,lru
read02.trace_1024_1_16_write-allocate_write-through_fifo,10,0,9,1,0,0,411,1024,1,16,write-allocate,write-through,fifo
read02.trace_1024_1_16_no-write-allocate_write-back_lru,10,0,9,1,0,0,411,1024,1,16,no-write-allocate,write-back,lru
read02.trace_1024_1_16_no-write-allocate_write-back_fifo,10,0,9,1,0,0,411,1024,1,16,no-write-allocate,write-back,fifo
read02.trace_1024_1_16_no-write-allocate_write-through_lru,10,0,9,1,0,0,411,1024,1,16,no-write-allocate,write-through,lru
read02.trace_1024_1_16_no-write-allocate_write-through_fifo,10,0,9,1,0,0,411,1024,1,16,no-write-allocate,write-through,fifo
read02.trace_128_8_16_write-allocate_write-back_lru,10,0,9,1,0,0,411,128,8,16,write-allocate,write-back,lru
read02.trace_128_8_16_write-allocate_write-back_fifo,10,0,9,1,0,0,411,128,8,16,write-allocate,write-back,fifo
read02.trace_128_8_16_write-allocate_write-through_lru,10,0,9,1,0,0,411,128,8,16,write-allocate,write-through,lru
read02.trace_128_8_16_write-allocate_write-through_fifo,10,0,9,1,0,0,411,128,8,16,write-allocate,write-through,fifo
read02.trace_128_8_16_no-write-allocate_write-back_lru,10,0,9,1,0,0,411,128,8,16,no-write-allocate,write-back,lru
read02.trace_128_8_16_no-write-allocate_write-back_fifo,10,0,9,1,0,0,411,128,8,16,no-write-allocate,write-back,fifo
read02.trace_128_8_16_no-write-allocate_write-through_lru,10,0,9,1,0,0,411,128,8,16,no-write-allocate,write-through,lru
read02.trace_128_8_16_no-write-allocate_write-through_fifo,10,0,9,1,0,0,411,128,8,16,no-write-allocate,write-through,fifo
read03.trace_256_4_16_write-allocate_write-back_lru,9,0,5,4,0,0,1613,256,4,16,write-allocate,write-back,lru
read03.trace_256_4_16_write-allocate_write-back_fifo,9,0,5,4,0,0,1613,256,4,16,write-allocate,write-back,fifo
read03.trace_256_4_16_write-allocate_write-through_lru,9,0,5,4,0,0,1613,256,4,16,write-allocate,write-through,lru
read03.trace_256_4_16_write-allocate_write-through_fifo,9,0,5,4,0,0,1613,256,4,16,write-allocate,write-through,fifo
read03.trace_256_4_16_no-write-allocate_write-back_lru,9,0,5,4,0,0,1613,256,4,16,no-write-allocate,write-back,lru
read03.trace_256_4_16_no-write-allocate_write-back_fifo,9,0,5,4,0,0,1613,256,4,16,no-write-allocate,write-back,fifo
read03.trace_256_4_16_no-write-allocate_write-through_lru,9,0,5,4,0,0,1613,256,4,16,no-write-allocate,write-through,lru
read03.trace_256_4_16_no-write-allocate_write-through_fifo,9,0,5,4,0,0,1613,256,4,16,no-write-allocate,write-through,fifo
read03.trace_1024_1_16_write-allocate_write-back_lru,9,0,5,4,0,0,1613,1024,1,16,write-allocate,write-back,lru
read03.trace_1024_1_16_write-allocate_write-back_fifo,9,0,5,4,0,0,1613,1024,1,16,write-allocate,write-back,fifo
read03.trace_1024_1_16_write-allocate_write-through_lru,9,0,5,4,0,0,1613,1024,1,16,write-allocate,write-through,lru
read03.trace_1024_1_16_write-allocate_write-through_fifo,9,0,5,4,0,0,1613,1024,1,16,write-allocate,write-through,fifo
read03.trace_1024_1_16_no-write-allocate_write-back_lru,9,0,5,4,0,0,1613,1024,1,16,no-write-allocate,write-back,lru
read03.trace_1024_1_16_no-write-allocate_write-back_fifo,9,0,5,4,0,0,1613,1024,1,16,no-write-allocate,write-back,fifo
read03.trace_1024_1_16_no-write-allocate_write-through_lru,9,0,5,4,0,0,1613,1024,1,16,no-write-allocate,write-through,lru
read03.trace_1024_1_16_no-write-allocate_write-through_fifo,9,0,5,4,0,0,1613,1024,1,16,no-write-allocate,write-through,fifo
read03.trace_128_8_16_write-allocate_write-back_lru,9,0,5,4,0,0,1613,128,8,16,write-allocate,write-back,lru
read03.trace_128_8_16_write-allocate_write-back_fifo,9,0,5,4,0,0,1613,128,8,16,write-allocate,write-back,fifo
read03.trace_128_8_16_write-allocate_write-through_lru,9,0,5,4,0,0,1613,128,8,16,write-allocate,write-through,lru
read03.trace_128_8_16_write-allocate_write-through_fifo,9,0,5,4,0,0,1613,128,8,16,write-allocate,write-through,fifo
read03.trace_128_8_16_no-write-allocate_write-back_lru,9,0,5,4,0,0,1613,128,8,16,no-write-allocate,write-back,lru
read03.trace_128_8_16_no-write-allocate_write-back_fifo,9,0,5,4,0,0,1613,128,8,16,no-write-allocate,write-back,fifo
read03.trace_128_8_16_no-write-allocate_write-through_lru,9,0,5,4,0,0,1613,128,8,16,no-write-allocate,write-through,lru
read03.trace_128_8_16_no-write-allocate_write-through_fifo,9,0,5,4,0,0,1613,128,8,16,no-write-allocate,write-through,fifo
swim.trace_256_4_16_write-allocate_write-back_lru,220668,82525,219507,1161,71956,10569,9394079,256,4,16,write-allocate,write-back,lru
swim.trace_256_4_16_write-allocate_write-back_fifo,220668,82525,218357,2311,71787,10738,10054429,256,4,16,write-allocate,write-back,fifo
swim.trace_256_4_16_write-allocate_write-through_lru,220668,82525,219507,1161,71956,10569,38016923,256,4,16,write-allocate,write-through,lru
swim.trace_256_4_16_write-allocate_write-through_fifo,220668,82525,218357,2311,71787,10738,38545842,256,4,16,write-allocate,write-through,fifo
swim.trace_256_4_16_no-write-allocate_write-back_lru,220668,82525,218072,2596,58030,24495,11872219,256,4,16,no-write-allocate,write-back,lru
swim.trace_256_4_16_no-write-allocate_write-back_fifo,220668,82525,217968,2700,57994,24531,11952687,256,4,16,no-write-allocate,write-back,fifo
swim.trace_256_4_16_no-write-allocate_write-through_lru,220668,82525,218072,2596,58030,24495,34354189,256,4,16,no-write-allocate,write-through,lru
swim.trace_256_4_16_no-write-allocate_write-through_fifo,220668,82525,217968,2700,57994,24531,34395893,256,4,16,no-write-allocate,write-through,fifo
swim.trace_1024_1_16_write-allocate_write-back_lru,220668,82525,217735,2933,71538,10987,10557851,1024,1,16,write-allocate,write-back,lru
swim.trace_1024_1_16_write-allocate_write-back_fifo,220668,82525,217735,2933,71538,10987,10557851,1024,1,16,write-allocate,write-back,fifo
swim.trace_1024_1_16_write-allocate_write-through_lru,220668,82525,217735,2933,71538,10987,38895113,1024,1,16,write-allocate,write-through,lru
swim.trace_1024_1_16_write-allocate_write-through_fifo,220668,82525,217735,2933,71538,10987,38895113,1024,1,16,write-allocate,write-through,fifo
swim.trace_1024_1_16_no-write-allocate_write-back_lru,220668,82525,217402,3266,57696,24829,12350555,1024,1,16,no-write-allocate,write-back,lru
swim.trace_1024_1_16_no-write-allocate_write-back_fifo,220668,82525,217402,3266,57696,24829,12350555,1024,1,16,no-write-allocate,write-back,fifo
swim.trace_1024_1_16_no-write-allocate_write-through_lru,220668,82525,217402,3266,57696,24829,34622859,1024,1,16,no-write-allocate,write-through,lru
